English,Nepali,Maths,Science,Social
enA,neA,maB,scB,soA
enD,neD,maD,scD,soD
enA,neA,maA,scA,soB
enC,neB,maD,scC,soC
enA,neA,maC,scC,soB
enB,neB,maD,scC,soC
enB,neC,maC,scC,soC
enA,neB,maD,scC,soB
enA,neA,maA,scA,soA
enA,neA,maC,scB,soB
enA,neA,maA,scA,soA
enC,neB,maD,scC,soC
enB,neB,maB,scA,soC
enA,neA,maA,scA,soC
enA,neB,maC,scB,soB
enC,neD,maD,scD,soD
enC,neC,maD,scC,soC
enC,neC,maD,scC,soC
enB,neC,maD,scC,soC
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enC,neC,maD,scD,soD
enB,neB,maC,scB,soC
enB,neC,maC,scB,soC
enA,neA,maA,scA,soA
enA,neB,maB,scA,soB
enA,neA,maD,scB,soC
enB,neB,maC,scB,soC
enC,neB,maD,scC,soD
enC,neC,maD,scC,soD
enB,neB,maD,scC,soD
enA,neA,maA,scA,soA
enC,neC,maD,scB,soD
enA,neB,maC,scA,soB
enB,neB,maD,scB,soC
enA,neB,maB,scA,soB
enB,neB,maC,scA,soC
enB,neB,maD,scB,soC
enC,neD,maD,scB,soD
enB,neB,maB,scB,soD
enC,neB,maD,scC,soD
enB,neC,maC,scB,soC
enC,neC,maD,scC,soD
enA,neA,maA,scA,soA
enC,neC,maD,scC,soD
enB,neC,maD,scC,soD
enA,neB,maC,scB,soA
enA,neB,maA,scB,soA
enA,neA,maA,scA,soA
enA,neB,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scB,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enB,neB,maB,scB,soA
enA,neB,maA,scA,soA
enA,neB,maA,scA,soA
enA,neA,maA,scB,soA
enA,neB,maA,scB,soA
enA,neA,maA,scA,soA
enB,neC,maC,scC,soC
enA,neB,maB,scB,soA
enA,neA,maA,scA,soA
enB,neB,maA,scC,soB
enA,neA,maB,scB,soA
enB,neC,maC,scB,soB
enA,neA,maA,scA,soA
enB,neA,maB,scB,soB
enA,neA,maB,scB,soA
enA,neA,maB,scB,soA
enA,neA,maA,scA,soA
enB,neC,maD,scC,soC
enA,neB,maA,scB,soA
enB,neB,maA,scB,soB
enA,neA,maA,scA,soA
enA,neA,maA,scB,soA
enA,neA,maA,scA,soA
enA,neB,maB,scB,soA
enA,neA,maA,scB,soA
enA,neA,maA,scA,soA
enA,neB,maA,scB,soB
enA,neA,maA,scA,soA
enB,neB,maC,scC,soC
enB,neB,maC,scB,soA
enA,neB,maA,scB,soB
enB,neB,maB,scB,soB
enA,neA,maA,scA,soA
enA,neC,maA,scA,soA
enB,neC,maC,scC,soC
enA,neA,maB,scB,soB
enB,neC,maB,scB,soB
enA,neB,maA,scA,soB
enB,neB,maC,scC,soC
enB,neC,maB,scC,soC
enB,neB,maB,scB,soB
enB,neB,maC,scA,soB
enA,neA,maA,scA,soA
enB,neC,maD,scC,soC
enB,neB,maB,scB,soB
enC,neC,maC,scC,soC
enA,neA,maA,scA,soA
enB,neC,maC,scB,soC
enA,neB,maA,scB,soB
enA,neB,maA,scB,soA
enA,neA,maA,scA,soA
enA,neC,maB,scB,soB
enA,neB,maB,scB,soC
enA,neB,maC,scA,soB
enB,neC,maA,scC,soB
enB,neB,maA,scB,soB
enA,neB,maB,scB,soB
enB,neB,maC,scC,soB
enA,neB,maB,scB,soB
enA,neB,maC,scB,soB
enB,neA,maA,scB,soB
enA,neC,maB,scB,soB
enA,neC,maC,scB,soB
enB,neB,maC,scC,soC
enB,neB,maC,scC,soC
enB,neC,maC,scC,soC
enA,neB,maB,scB,soC
enA,neA,maA,scB,soB
enB,neB,maC,scC,soB
enA,neB,maB,scB,soA
enA,neA,maA,scA,soA
enA,neB,maA,scA,soA
enA,neB,maA,scA,soA
enA,neA,maB,scA,soA
enC,neC,maD,scD,soC
enB,neC,maC,scC,soC
enA,neA,maA,scA,soA
enB,neC,maC,scC,soC
enA,neC,maA,scC,soB
enA,neA,maA,scB,soB
enA,neB,maA,scB,soA
enB,neB,maB,scB,soA
enB,neC,maC,scC,soB
enB,neB,maC,scB,soB
enA,neA,maB,scB,soA
enB,neB,maC,scC,soB
enC,neC,maC,scC,soB
enB,neB,maC,scC,soC
enB,neC,maD,scC,soC
enB,neC,maC,scC,soC
enB,neD,maD,scC,soC
enC,neC,maD,scD,soC
enA,neA,maA,scB,soA
enB,neB,maC,scC,soB
enB,neB,maC,scC,soB
enA,neB,maB,scB,soB
enB,neB,maB,scC,soB
enB,neB,maB,scC,soB
enA,neB,maA,scA,soA
enA,neB,maA,scC,soB
enB,neC,maC,scC,soC
enA,neB,maA,scA,soB
enB,neB,maC,scC,soD
enA,neA,maA,scA,soA
enB,neC,maA,scB,soC
enA,neB,maD,scC,soC
enA,neB,maC,scB,soC
enB,neB,maC,scB,soB
enC,neC,maD,scD,soD
enB,neB,maC,scB,soC
enA,neB,maA,scA,soB
enA,neB,maA,scA,soC
enB,neB,maB,scB,soC
enB,neC,maC,scC,soD
enA,neB,maA,scA,soB
enB,neB,maB,scC,soB
enC,neC,maD,scC,soD
enB,neB,maC,scB,soB
enB,neC,maC,scC,soC
enB,neB,maA,scC,soB
enA,neB,maB,scB,soC
enA,neA,maA,scA,soA
enB,neC,maC,scD,soD
enB,neC,maC,scD,soC
enA,neA,maB,scB,soB
enB,neB,maB,scC,soC
enB,neB,maC,scB,soB
enB,neB,maB,scB,soC
enA,neB,maA,scA,soB
enB,neB,maC,scC,soB
enA,neA,maA,scA,soB
enA,neA,maA,scA,soA
enA,neB,maA,scA,soB
enB,neB,maD,scB,soB
enA,neB,maA,scA,soB
enB,neB,maB,scB,soB
enB,neB,maB,scC,soB
enC,neB,maB,scC,soC
enC,neC,maA,scC,soC
enC,neD,maC,scD,soD
enA,neA,maB,scA,soA
enC,neC,maC,scD,soD
enD,neD,maD,scD,soD
enD,neD,maD,scD,soD
enD,neC,maD,scD,soD
enC,neB,maC,scC,soC
enB,neC,maB,scB,soC
enA,neB,maA,scB,soB
enC,neB,maC,scB,soC
enC,neC,maB,scC,soC
enA,neA,maA,scB,soB
enB,neB,maC,scB,soB
enB,neB,maC,scC,soC
enA,neA,maA,scA,soB
enA,neA,maA,scA,soC
enC,neC,maC,scC,soC
enB,neC,maC,scC,soC
enB,neB,maC,scC,soC
enB,neB,maC,scC,soC
enB,neC,maD,scC,soC
enC,neD,maD,scD,soD
enC,neD,maD,scC,soD
enA,neA,maC,scA,soC
enC,neC,maD,scD,soD
enC,neC,maC,scC,soD
enB,neC,maC,scD,soD
enB,neC,maD,scC,soD
enB,neC,maD,scC,soD
enC,neD,maD,scD,soD
enC,neD,maD,scD,soD
enD,neD,maD,scD,soD
enB,neB,maC,scC,soC
enB,neC,maB,scC,soC
enC,neD,maD,scD,soD
enB,neA,maC,scB,soB
enB,neA,maA,scB,soB
enB,neB,maB,scB,soC
enB,neB,maC,scD,soC
enC,neB,maC,scD,soC
enC,neB,maB,scB,soB
enC,neA,maC,scA,soB
enC,neD,maD,scD,soD
enC,neB,maC,scC,soC
enC,neC,maD,scD,soC
enC,neB,maC,scC,soC
enC,neC,maD,scD,soD
enC,neA,maB,scC,soB
enC,neA,maC,scC,soB
enC,neB,maC,scD,soC
enC,neB,maC,scD,soC
enC,neB,maB,scC,soC
enC,neA,maD,scB,soB
enC,neA,maC,scB,soB
enC,neA,maB,scA,soB
enB,neC,maD,scD,soD
enC,neA,maB,scA,soB
enB,neA,maB,scA,soA
enC,neC,maC,scC,soC
enC,neC,maD,scD,soD
enC,neC,maD,scD,soD
enA,neA,maA,scA,soB
enA,neA,maC,scA,soC
enB,neB,maC,scB,soC
enB,neB,maC,scB,soC
enA,neC,maC,scC,soC
enA,neA,maC,scC,soC
enB,neA,maD,scC,soC
enB,neC,maD,scC,soC
enB,neB,maD,scC,soC
enC,neB,maD,scD,soD
enC,neB,maD,scD,soC
enA,neA,maB,scA,soB
enA,neB,maC,scC,soB
enB,neA,maC,scB,soB
enC,neB,maD,scD,soC
enB,neB,maD,scD,soC
enB,neB,maD,scB,soC
enA,neB,maC,scB,soB
enA,neA,maA,scA,soB
enB,neB,maC,scC,soB
enC,neB,maD,scC,soC
enC,neB,maD,scD,soB
enC,neB,maD,scC,soC
enC,neB,maD,scC,soC
enB,neB,maC,scB,soC
enB,neB,maC,scB,soC
enB,neB,maC,scB,soC
enB,neB,maB,scB,soC
enC,neC,maA,scB,soC
enC,neC,maD,scC,soC
enC,neC,maD,scC,soD
enC,neB,maD,scC,soC
enC,neC,maC,scC,soC
enC,neB,maD,scC,soD
enC,neC,maD,scC,soD
enC,neC,maD,scD,soD
enC,neC,maD,scD,soD
enC,neB,maD,scC,soC
enC,neD,maD,scD,soD
enC,neB,maC,scC,soC
enC,neC,maD,scC,soC
enC,neC,maC,scB,soC
enC,neC,maD,scD,soD
enC,neC,maC,scC,soD
enC,neC,maC,scC,soC
enD,neD,maD,scD,soD
enC,neB,maC,scB,soB
enC,neC,maC,scB,soC
enC,neC,maC,scB,soC
enC,neC,maD,scD,soC
enD,neC,maD,scD,soC
enA,neA,maB,scD,soB
enA,neA,maB,scB,soB
enB,neB,maB,scB,soC
enB,neB,maB,scB,soC
enB,neB,maC,scB,soC
enB,neC,maD,scC,soD
enB,neB,maC,scB,soC
enB,neC,maC,scC,soD
enB,neB,maC,scC,soB
enB,neC,maC,scB,soC
enB,neB,maC,scC,soB
enC,neC,maC,scC,soC
enC,neC,maC,scC,soD
enC,neC,maC,scD,soC
enB,neC,maD,scD,soC
enB,neC,maC,scD,soC
enB,neB,maD,scC,soC
enC,neB,maD,scC,soC
enC,neC,maD,scD,soC
enC,neC,maC,scB,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maD,scB,soD
enC,neA,maA,scB,soB
enB,neC,maD,scD,soD
enB,neA,maB,scD,soB
enB,neB,maB,scD,soB
enB,neB,maD,scB,soB
enB,neC,maD,scD,soD
enB,neA,maA,scA,soA
enB,neC,maC,scC,soD
enC,neC,maC,scC,soC
enB,neB,maD,scD,soC
enB,neB,maA,scC,soB
enB,neA,maB,scB,soB
enB,neB,maB,scA,soB
enB,neB,maC,scC,soC
enB,neB,maC,scC,soC
enC,neB,maD,scC,soB
enC,neC,maD,scC,soC
enC,neB,maC,scC,soC
enB,neB,maB,scC,soB
enB,neB,maD,scC,soC
enC,neB,maD,scC,soC
enC,neB,maD,scC,soC
enC,neC,maD,scC,soC
enC,neC,maD,scC,soC
enC,neC,maD,scD,soD
enC,neC,maD,scD,soD
enC,neC,maD,scC,soC
enC,neB,maD,scC,soC
enC,neC,maD,scC,soC
enC,neB,maD,scC,soC
enC,neB,maD,scC,soC
enC,neB,maD,scC,soC
enC,neC,maD,scD,soC
enC,neC,maD,scD,soC
enC,neC,maD,scC,soD
enC,neC,maD,scD,soC
enC,neC,maD,scC,soC
enB,neB,maC,scC,soB
enC,neB,maD,scD,soC
enC,neB,maD,scB,soB
enC,neB,maD,scC,soC
enC,neB,maD,scB,soC
enC,neB,maD,scC,soC
enC,neC,maD,scC,soC
enC,neC,maD,scC,soC
enC,neB,maC,scC,soC
enC,neB,maC,scB,soB
enA,neA,maA,scA,soA
enB,neA,maB,scA,soA
enB,neB,maB,scA,soB
enB,neB,maB,scB,soB
enC,neB,maB,scC,soB
enB,neB,maB,scC,soB
enA,neB,maB,scB,soB
enB,neA,maC,scB,soB
enB,neB,maC,scB,soB
enB,neC,maD,scC,soC
enA,neC,maD,scC,soC
enB,neB,maC,scC,soC
enB,neB,maD,scC,soC
enC,neB,maD,scC,soC
enC,neC,maD,scD,soC
enC,neC,maD,scD,soC
enC,neC,maD,scD,soD
enC,neC,maD,scD,soC
enC,neC,maD,scD,soD
enC,neC,maD,scD,soD
enB,neB,maC,scB,soB
enC,neC,maD,scD,soC
enC,neB,maC,scB,soC
enC,neC,maC,scC,soC
enC,neC,maD,scD,soD
enC,neC,maD,scD,soC
enB,neC,maD,scC,soC
enC,neC,maD,scD,soC
enB,neB,maC,scC,soC
enB,neC,maD,scC,soC
enC,neC,maD,scD,soD
enC,neC,maD,scC,soC
enC,neB,maC,scC,soC
enC,neB,maD,scC,soC
enB,neA,maB,scA,soA
enB,neB,maD,scC,soB
enC,neC,maD,scD,soC
enA,neB,maC,scC,soB
enA,neA,maA,scA,soA
enB,neB,maC,scC,soB
enA,neB,maC,scC,soC
enC,neC,maD,scC,soC
enB,neB,maC,scC,soC
enC,neC,maD,scC,soC
enC,neB,maC,scC,soC
enC,neC,maD,scD,soC
enC,neC,maD,scC,soC
enC,neC,maD,scD,soC
enC,neA,maC,scC,soB
enB,neB,maD,scC,soC
enC,neC,maD,scD,soD
enC,neC,maD,scD,soD
enC,neC,maD,scD,soD
enD,neC,maD,scD,soD
enC,neA,maD,scD,soC
enC,neC,maD,scD,soD
enC,neC,maD,scD,soB
enB,neB,maD,scD,soC
enB,neA,maD,scD,soC
enC,neC,maD,scD,soC
enC,neC,maD,scD,soD
enC,neB,maD,scD,soC
enB,neC,maC,scD,soB
enC,neC,maC,scD,soC
enC,neA,maC,scC,soC
enC,neB,maB,scC,soA
enC,neB,maD,scD,soD
enC,neC,maD,scC,soC
enC,neB,maD,scC,soC
enC,neB,maC,scC,soB
enC,neB,maD,scD,soC
enB,neB,maB,scC,soC
enC,neB,maC,scC,soC
enC,neC,maD,scD,soC
enC,neB,maD,scD,soC
enD,neC,maD,scD,soD
enC,neB,maD,scD,soC
enC,neA,maD,scD,soC
enC,neA,maD,scD,soC
enC,neB,maD,scD,soC
enC,neB,maD,scD,soC
enD,neC,maD,scD,soC
enD,neC,maD,scC,soC
enC,neC,maD,scD,soC
enB,neA,maC,scC,soB
enC,neC,maD,scD,soC
enC,neC,maD,scD,soC
enC,neC,maC,scC,soC
enD,neC,maD,scD,soC
enD,neA,maD,scD,soC
enC,neB,maC,scD,soB
enC,neB,maD,scD,soC
enB,neB,maD,scD,soC
enC,neC,maD,scC,soC
enC,neB,maC,scC,soC
enC,neB,maC,scC,soC
enA,neA,maC,scA,soA
enB,neA,maC,scA,soA
enB,neA,maC,scA,soA
enC,neB,maB,scB,soB
enC,neB,maB,scB,soB
enD,neC,maC,scC,soB
enD,neA,maD,scC,soB
enD,neB,maD,scB,soB
enD,neC,maD,scC,soC
enD,neC,maD,scB,soC
enD,neD,maD,scC,soC
enD,neD,maD,scC,soC
enD,neD,maD,scD,soD
enD,neC,maD,scC,soD
enD,neD,maD,scD,soD
enB,neA,maC,scB,soA
enD,neD,maD,scD,soD
enB,neA,maD,scB,soB
enD,neC,maD,scC,soC
enC,neB,maD,scC,soC
enC,neB,maD,scC,soC
enD,neD,maD,scD,soD
enC,neA,maD,scC,soC
enA,neA,maC,scA,soA
enB,neB,maB,scC,soA
enC,neB,maB,scC,soA
enC,neB,maA,scC,soA
enC,neC,maB,scC,soB
enC,neC,maC,scD,soC
enC,neC,maD,scB,soC
enD,neC,maD,scD,soC
enD,neD,maD,scD,soD
enD,neD,maC,scD,soC
enD,neD,maD,scD,soB
enD,neD,maD,scC,soC
enD,neD,maD,scD,soD
enD,neD,maC,scD,soD
enD,neD,maC,scD,soD
enC,neA,maC,scB,soB
enD,neD,maD,scD,soD
enC,neB,maC,scC,soB
enD,neC,maD,scD,soD
enD,neC,maC,scD,soC
enC,neC,maD,scB,soC
enD,neC,maD,scD,soD
enD,neB,maC,scD,soC
enD,neD,maC,scD,soC
enA,neA,maB,scA,soA
enA,neA,maB,scA,soA
enC,neA,maA,scA,soA
enB,neB,maA,scA,soB
enC,neB,maC,scA,soB
enC,neC,maB,scB,soB
enC,neA,maC,scA,soC
enC,neA,maC,scC,soC
enB,neC,maC,scC,soC
enC,neB,maC,scB,soC
enC,neC,maC,scB,soC
enC,neB,maC,scC,soC
enC,neB,maC,scB,soB
enC,neC,maC,scC,soC
enC,neB,maC,scB,soC
enC,neA,maC,scB,soB
enC,neC,maC,scC,soC
enB,neA,maB,scA,soB
enC,neB,maC,scC,soC
enC,neB,maC,scC,soC
enC,neA,maC,scB,soC
enC,neC,maB,scB,soC
enB,neB,maB,scA,soA
enC,neC,maC,scC,soC
enA,neA,maB,scA,soB
enA,neA,maB,scA,soB
enA,neB,maA,scA,soB
enA,neB,maB,scB,soC
enA,neC,maB,scB,soD
enA,neC,maB,scC,soC
enA,neB,maC,scB,soC
enB,neC,maB,scC,soC
enB,neC,maC,scC,soC
enB,neC,maB,scC,soC
enA,neB,maC,scC,soC
enA,neC,maD,scC,soC
enB,neC,maD,scC,soD
enB,neD,maD,scD,soD
enC,neC,maD,scC,soD
enC,neD,maD,scD,soD
enB,neD,maD,scD,soD
enC,neD,maD,scD,soD
enD,neD,maD,scD,soD
enB,neC,maD,scC,soC
enC,neD,maD,scD,soD
enC,neD,maD,scD,soD
enC,neC,maD,scD,soD
enC,neC,maD,scD,soD
enC,neD,maD,scD,soD
enD,neD,maD,scD,soD
enB,neC,maD,scD,soC
enD,neD,maD,scD,soD
enC,neC,maD,scD,soC
enA,neA,maB,scA,soB
enB,neC,maD,scD,soD
enB,neC,maD,scD,soC
enA,neA,maA,scA,soA
enA,neB,maB,scA,soB
enA,neB,maA,scA,soB
enA,neB,maB,scB,soB
enB,neC,maB,scB,soC
enA,neB,maC,scB,soB
enB,neC,maC,scB,soB
enC,neC,maC,scC,soC
enB,neC,maC,scC,soC
enC,neC,maC,scC,soC
enB,neC,maC,scC,soC
enB,neC,maC,scD,soB
enC,neC,maC,scC,soC
enC,neC,maD,scD,soC
enC,neD,maD,scD,soC
enC,neC,maD,scD,soC
enB,neD,maD,scC,soC
enC,neD,maD,scC,soD
enC,neD,maD,scD,soD
enB,neD,maD,scD,soC
enC,neC,maD,scC,soD
enC,neD,maD,scD,soD
enB,neD,maD,scD,soD
enC,neD,maD,scD,soD
enC,neD,maD,scD,soD
enC,neD,maD,scD,soD
enB,neD,maD,scD,soD
enD,neD,maD,scD,soD
enC,neC,maD,scD,soB
enA,neB,maB,scA,soA
enC,neC,maD,scD,soB
enC,neC,maD,scD,soC
enA,neB,maA,scA,soA
enA,neB,maA,scA,soA
enA,neB,maA,scA,soB
enB,neB,maA,scB,soB
enB,neC,maB,scC,soC
enB,neB,maB,scC,soC
enB,neB,maC,scB,soC
enB,neC,maC,scB,soC
enC,neC,maB,scC,soC
enC,neC,maB,scC,soC
enB,neC,maB,scC,soB
enB,neC,maC,scC,soB
enC,neC,maC,scC,soC
enB,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maB,scC,soC
enC,neC,maC,scC,soC
enC,neC,maB,scC,soC
enC,neC,maC,scC,soC
enC,neC,maB,scC,soC
enC,neC,maC,scB,soC
enA,neB,maA,scA,soB
enC,neC,maB,scC,soC
enC,neC,maC,scC,soB
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soB
enA,neA,maD,scA,soB
enA,neB,maB,scA,soB
enB,neB,maB,scA,soB
enC,neB,maC,scB,soA
enB,neB,maC,scB,soB
enB,neB,maC,scC,soB
enC,neC,maC,scC,soB
enB,neB,maD,scC,soC
enC,neD,maC,scC,soC
enC,neC,maC,scB,soC
enC,neC,maC,scC,soC
enC,neC,maD,scD,soC
enC,neC,maD,scD,soC
enC,neC,maD,scD,soC
enC,neD,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maD,scD,soD
enC,neD,maD,scD,soD
enC,neD,maC,scC,soD
enD,neD,maD,scD,soC
enD,neD,maD,scD,soC
enC,neD,maD,scD,soC
enC,neD,maC,scD,soC
enC,neC,maD,scD,soC
enC,neD,maD,scD,soC
enC,neD,maD,scD,soC
enC,neD,maD,scD,soD
enA,neA,maB,scA,soA
enC,neC,maC,scD,soC
enC,neB,maC,scB,soB
enB,neA,maC,scC,soB
enA,neA,maA,scA,soA
enC,neD,maD,scD,soC
enC,neD,maD,scD,soC
enB,neC,maC,scC,soC
enC,neD,maD,scD,soC
enA,neA,maB,scA,soA
enA,neB,maA,scA,soA
enA,neA,maA,scA,soB
enA,neA,maD,scA,soB
enA,neB,maA,scA,soB
enC,neB,maA,scB,soB
enB,neB,maB,scB,soA
enB,neB,maB,scB,soB
enB,neB,maB,scB,soB
enC,neB,maB,scC,soB
enC,neB,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maB,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maD,scD,soC
enC,neC,maD,scC,soC
enC,neC,maC,scC,soC
enC,neC,maD,scC,soC
enD,neD,maD,scC,soC
enD,neD,maC,scD,soC
enC,neD,maD,scC,soC
enC,neC,maD,scC,soC
enC,neC,maD,scD,soC
enC,neC,maC,scC,soC
enC,neC,maD,scC,soC
enC,neC,maD,scD,soC
enD,neC,maD,scD,soC
enC,neC,maD,scD,soC
enA,neB,maA,scA,soA
enC,neC,maC,scD,soC
enC,neC,maC,scC,soB
enB,neB,maC,scB,soB
enA,neB,maA,scA,soA
enC,neD,maD,scC,soC
enC,neD,maD,scD,soC
enC,neD,maD,scC,soC
enC,neD,maD,scD,soC
enA,neA,maA,scA,soA
enA,neA,maA,scA,soA
enA,neA,maA,scA,soB
enA,neB,maC,scA,soB
enA,neB,maB,scA,soB
enB,neB,maA,scA,soB
enB,neA,maB,scB,soA
enB,neB,maB,scB,soB
enB,neB,maB,scB,soB
enC,neB,maB,scC,soB
enC,neC,maC,scB,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maA,scB,soC
enC,neC,maC,scB,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enD,neC,maB,scC,soC
enC,neC,maC,scC,soC
enD,neC,maC,scC,soC
enD,neC,maC,scC,soC
enD,neC,maB,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enD,neC,maB,scC,soC
enC,neC,maC,scC,soD
enA,neA,maA,scA,soB
enC,neC,maC,scC,soC
enC,neC,maC,scC,soB
enB,neB,maC,scB,soB
enA,neA,maA,scA,soA
enC,neC,maB,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soC
enA,neB,maB,scA,soA
enA,neB,maC,scB,soB
enB,neB,maC,scC,soB
enB,neB,maC,scC,soB
enB,neB,maC,scC,soB
enB,neC,maC,scB,soB
enB,neC,maC,scC,soC
enB,neB,maC,scC,soC
enB,neB,maC,scB,soC
enC,neC,maC,scC,soC
enC,neC,maC,scC,soB
enC,neC,maC,scC,soB
enC,neC,maD,scC,soC
enC,neC,maD,scD,soC
enC,neC,maD,scC,soC
enC,neC,maD,scC,soC
enC,neC,maD,scD,soD
enC,neC,maD,scC,soC
enC,neC,maD,scD,soC
enD,neC,maD,scD,soC
enC,neC,maD,scD,soD
enC,neD,maD,scD,soD
enA,neC,maD,scC,soC
enA,neC,maD,scC,soB
enA,neC,maD,scC,soB
enC,neD,maD,scD,soC
enB,neC,maD,scC,soC
enB,neC,maD,scC,soB
enB,neC,maD,scD,soC
enA,neC,maD,scD,soB
enD,neC,maD,scD,soB
enA,neC,maD,scD,soC
enB,neC,maD,scD,soC
enB,neB,maC,scA,soB
enB,neB,maC,scA,soC
enB,neB,maD,scB,soC
enB,neB,maD,scC,soC
enB,neB,maD,scC,soC
enB,neC,maD,scC,soC
enB,neC,maD,scC,soC
enB,neC,maD,scC,soC
enB,neC,maD,scC,soC
enB,neC,maD,scC,soC
enB,neC,maD,scC,soC
enC,neC,maD,scC,soC
enC,neC,maD,scC,soC
enC,neC,maD,scD,soC
enC,neC,maD,scD,soD
enC,neC,maD,scD,soD
enC,neD,maD,scD,soD
enB,neD,maD,scD,soD
enC,neC,maD,scD,soD
enB,neC,maD,scD,soC
enB,neD,maD,scD,soD
enB,neC,maC,scC,soD
enB,neC,maD,scC,soC
enB,neC,maD,scD,soC
enC,neC,maD,scC,soD
enC,neC,maD,scC,soD
enC,neD,maD,scD,soD
enB,neC,maD,scD,soC
enB,neC,maD,scD,soD
enC,neC,maD,scD,soD
enA,neB,maA,scA,soA
enA,neB,maA,scB,soB
enA,neB,maC,scB,soC
enB,neB,maB,scC,soC
enA,neB,maB,scC,soC
enA,neC,maB,scC,soC
enA,neC,maC,scC,soC
enB,neC,maB,scC,soC
enB,neB,maC,scC,soC
enB,neC,maC,scC,soC
enB,neC,maB,scC,soC
enB,neC,maC,scC,soC
enB,neC,maB,scC,soC
enB,neC,maB,scB,soC
enB,neC,maB,scC,soC
enB,neC,maB,scC,soC
enB,neC,maB,scB,soC
enB,neC,maB,scB,soC
enB,neC,maB,scB,soC
enB,neC,maB,scB,soC
enC,neC,maC,scC,soC
enA,neC,maC,scC,soC
enB,neC,maC,scB,soC
enD,neC,maD,scD,soD
enC,neC,maB,scC,soC
enC,neC,maC,scC,soC
enC,neC,maB,scB,soC
enC,neC,maB,scB,soC
enC,neC,maB,scB,soC
enC,neC,maB,scB,soC
